,-0.6,-0.4,-0.2,0.0,0.19999999999999996,0.3999999999999999,0.6
[1 3],-7138.774321952172,-7230.667614385332,-7139.647887750663,-7066.883977712634,-4266.155728075297,-6821.380651835667,-6664.4790731803305
[ 2 15],-1188.0543440145325,-1180.7649320696162,-1150.1918538837772,-1183.479442303385,-1183.4198419277714,-1323.7560041162221,-1294.78067743297
[ 4 15],-983.5852906607622,-982.4197621856257,-981.4201661469622,-1033.7320818689736,-990.3248129310975,-1038.275703022724,-992.3867404528361
[ 6 15],-971.4069253285608,-977.3409866798145,-964.6931223168841,-984.6538021999758,-963.7371935630217,-1226.94735887361,-1217.2103585595141
[ 8 15],-985.3018085431246,-1002.3366379880852,-971.2846846744045,-964.7022631723288,-867.0416901318713,-1018.391400672055,-1063.6636081811941
[ 9 15],-953.0340760833697,-942.9046870767721,-1011.0171778185107,-514.752387652007,-913.2164600208429,-917.0087721189428,-1137.1903009993193
[10 15],-995.9259972531486,-949.2352650496964,-824.6045291788137,-990.4517156745095,-257.07394714297357,-858.7030241778709,-880.4327486591362
[1 1],-314.9328966836145,-394.79946047651384,-397.3151638360587,-412.1024849945593,-387.28900898815783,-388.39742097103357,-400.5774933188632
[9 3],-3577.6172888565316,-3606.595093772892,-3572.2119719414377,-3589.091353673371,-3575.4659052700217,-3594.686301218275,-3588.836162177745
[8 3],-3789.746832571179,-3849.223580266661,-3796.271439064506,-3785.982580554616,-3796.9121304333366,-3785.205446635199,-3806.965335390783
[7 3],-4061.7319954437503,-4069.6457779025495,-4045.076121884745,-4044.9869243960857,-4057.104073123734,-3810.9906052126044,-4079.2405553558942
[6 3],-4489.176869659937,-4290.293583683673,-4500.686997090658,-4313.515054985112,-4347.898530888331,-4402.478524563497,-4308.718307267543
[5 3],-4607.6954165223115,-4938.945475849228,-4633.49037341948,-4658.876387980288,-4624.768365101168,-4622.645241956559,-4613.146364582835
[4 3],-4953.306840836656,-4976.255164054142,-5261.944742540112,-5013.304157298589,-4957.167980249016,-4959.0348584789,-4939.252627240347
[3 3],-5638.0140331518305,-5641.650060819174,-5349.407296529014,-5360.045225509057,-5340.432467220345,-5342.54905021483,-5355.345193799836
[2 3],-6143.925254714081,-6337.156309808206,-6347.765228924083,-6623.261868639708,-6424.514096132174,-6282.084609212354,-5481.21295578414
[ 7 15],-927.5276192628143,-930.0082847883795,-918.3006512177856,-852.2730528294509,-928.9098363919105,-1035.7842309751472,-1000.0666896740631
[2 2],-1223.131627428219,-1042.1676126555658,-1101.7711525528764,-1087.158420920379,-1095.0481401151455,-1047.677342253451,-679.4418200136714
[1 2],-1094.1584543586287,-1273.8690779102594,-1273.6242952137234,-471.78061244229815,-1349.403563385637,-1077.191875301224,-1105.8162116402589
[9 1],-901.6898102901683,-900.9005385431396,-898.8295069774425,-903.839908481175,-897.7368293157222,-899.8213146192542,-899.8364292601972
[7 1],-735.0472693669923,-741.4964313538613,-737.61101256844,-732.8416321084188,-731.9840261936419,-726.930846759715,-738.654452710143
[3 1],-628.171801971683,-625.3576506924146,-583.7319016568147,-626.1502374673631,-625.9392976834263,-647.4167057269565,-628.4551221779225
[2 1],-486.7417894024771,-551.936497798341,-528.8495207139852,-557.4057203879433,-551.7522878642806,-524.4633046222486,-541.0363354351166
[4 2],-957.388000730997,-945.1406544168907,-948.7899057070794,-945.7532087623395,-1030.1546696190985,-982.2557732990114,-914.1116355589362
[ 1 12],-2885.2110710344127,-2795.6966733770673,-2814.208610982418,-2866.794470695378,-2794.9933954836147,-2832.1952016389628,-2823.679193299772
[ 1 11],-3104.8980000371644,-3136.7266544682957,-3432.789775338513,-3431.6084654923416,-3133.770041918624,-3079.942624178397,-3331.9498979667987
[1 7],-3782.982627241445,-3880.4491712708573,-3827.88668610072,-3857.9593053365043,-3819.41032810684,-3868.0906045761208,-3911.688026638036
[1 6],-5260.126161985905,-5205.593773397168,-5226.460427866538,-5423.133427545194,-5278.909367547491,-5185.525421497291,-5273.8650661587435
[1 5],-5713.603643125565,-5808.584104990904,-5908.0331403878445,-5961.22183898563,-5736.972277506188,-5715.628002926564,-5739.068178807032
[1 4],-6404.77647106694,-6321.127737493831,-6415.498084193857,-5787.745489923079,-7011.660018539348,-6654.539502607326,-5523.46757363086
